,Topic
19,281122
2,263854
0,252892
4,223435
3,201560
1,170285
16,168813
12,144588
8,125372
7,84658
17,80985
15,65731
11,59220
13,34997
18,27832
9,3124
10,1471
14,1408
5,935
6,827
