,Topic
4,346167
15,241802
16,237347
5,219265
10,216170
9,161853
6,150460
19,122950
11,91358
8,88607
3,77968
12,73364
0,66156
7,52172
2,48035
14,39885
13,36087
1,23597
17,3194
18,633
