,Topic
14,71069
17,65490
19,58922
12,48059
10,46683
16,45612
5,44986
0,38428
6,28649
2,27728
13,22754
15,21518
8,20458
9,18242
1,8391
3,7413
18,641
4,515
11,299
7,280
