,Topic
8,318289
6,283445
13,233376
3,223141
5,222942
2,163063
14,158487
15,134361
4,128412
9,73727
0,71477
10,68943
19,44423
7,43505
1,4736
12,3676
16,1307
11,873
17,871
18,484
