,Topic
11,333930
1,236654
14,214124
3,198655
4,196857
16,164896
10,161740
13,135423
6,119174
5,107315
19,91346
12,90622
2,85665
18,19509
7,4062
0,2565
15,894
9,654
8,523
17,411
