,Topic
16,122681
5,112535
8,105426
3,100504
9,99729
13,94395
1,86740
0,83621
17,48886
2,44776
15,41703
18,41279
7,29983
4,14037
11,13289
12,2455
14,698
6,665
19,345
10,326
