,Topic
17,269584
15,247038
13,238558
12,236815
19,189867
1,188258
0,154187
3,119591
14,119468
8,117897
4,104921
10,91433
11,54405
7,46708
5,45871
16,16276
2,9368
6,2088
9,1028
18,893
