index,Topic
10,27546
7,26587
19,26320
11,24253
1,22466
4,19292
5,18294
15,18158
17,17362
2,16332
0,15011
18,8666
3,8411
12,4827
14,444
6,415
9,248
8,224
16,133
13,87
