,Topic
2,175559
19,156498
17,152238
7,145139
3,134198
16,100474
5,98683
0,78620
9,74864
4,74077
15,64273
1,58410
12,54654
10,49365
11,38280
8,31282
13,2790
14,1839
18,1430
6,489
