,Topic
15,18219
16,15991
10,11530
9,10630
4,8062
5,7844
6,5848
8,4032
3,2975
19,2924
0,2672
11,2474
12,2171
7,1870
2,1676
13,1311
14,836
1,706
17,133
18,25
