,Topic
13,243421
9,223709
10,213101
7,209796
1,199822
18,124955
6,124400
8,110772
5,94410
4,87726
11,69779
17,69074
19,61725
12,52466
14,37788
0,3329
16,1320
2,694
15,367
3,359
